src,dst,lines,median_ns,p90_ns,p95_ns
0,1,1,25.0,30.0,33.0
0,1,2,28.0,30.0,32.0
0,2,1,114.0,118.0,122.0
0,2,2,160.0,167.0,172.0
0,3,1,114.0,119.0,126.0
0,3,2,161.0,173.0,179.0
1,0,1,28.0,31.0,33.0
1,0,2,28.0,30.0,32.0
1,2,1,114.0,119.0,126.0
1,2,2,160.0,168.0,172.0
1,3,1,114.0,119.0,127.0
1,3,2,160.0,172.0,179.0
2,0,1,115.0,131.0,136.0
2,0,2,159.0,167.0,171.0
2,1,1,115.0,131.0,135.0
2,1,2,158.0,169.0,177.0
2,3,1,25.0,30.0,32.0
2,3,2,28.0,30.0,32.0
3,0,1,115.0,131.0,137.0
3,0,2,160.0,169.0,175.0
3,1,1,116.0,133.0,139.0
3,1,2,165.0,178.0,185.0
3,2,1,28.0,31.0,33.0
3,2,2,28.0,30.0,32.0
